n;Grade School;Divide and Conquer;Karatsuba
1;0.011;0.002;0.002
2;0.005;0.018;0.022
3;0.009;0.05;0.041
4;0.011;0.047;0.042
5;0.014;0.209;0.187
6;0.015;0.202;0.171
7;0.016;0.207;0.17
8;0.021;0.259;0.165
9;0.025;0.857;0.627
10;0.027;0.851;0.649
11;0.033;0.869;0.487
12;0.024;0.593;0.47
13;0.034;0.834;0.585
14;0.028;0.598;0.46
15;0.03;0.595;0.459
16;0.033;0.599;0.513
17;0.043;2.843;2.482
18;0.071;2.511;1.804
19;0.046;2.988;2.438
20;0.069;3.22;2.568
21;0.051;2.432;1.851
22;0.061;2.586;2.575
23;0.085;3.372;2.594
24;0.09;3.264;2.583
25;0.098;2.774;1.845
26;0.07;2.57;2.127
27;0.074;2.439;1.848
28;0.078;2.547;2.081
29;0.09;2.381;2.77
30;0.152;2.84;1.907
31;0.107;2.72;1.789
32;0.111;2.342;1.669
33;0.115;10.236;9.142
34;0.146;10.818;8.706
35;0.155;11.171;7.934
36;0.129;10.746;8.335
37;0.224;9.68;6.548
38;0.145;9.331;6.464
39;0.118;8.97;6.231
40;0.128;8.806;6.94
41;0.129;12.479;13.191
42;0.249;17.882;12.848
43;0.221;10.908;8.189
44;0.18;10.401;7.844
45;0.172;9.374;6.995
46;0.168;8.521;6.626
47;0.165;10.371;7.093
48;0.166;10.164;8.932
49;0.214;10.785;6.864
50;0.179;9.058;6.69
51;0.242;10.068;6.533
52;0.191;9.855;6.282
53;0.283;9.071;6.567
54;0.231;8.389;6.294
55;0.21;9.214;6.228
56;0.223;8.879;6.47
57;0.223;8.392;6.424
58;0.23;8.344;7.118
59;0.244;8.781;6.813
60;0.244;8.767;6.954
61;0.26;8.895;6.926
62;0.261;9.025;6.888
63;0.274;9.292;6.624
64;0.28;9.131;6.906
65;0.446;37.736;28.211
66;0.302;40.797;34.444
67;0.368;44.597;35.487
68;0.351;45.879;38.967
69;0.586;47.752;33.49
70;0.357;40.465;34.405
71;0.4;40.119;28.755
72;0.352;35.261;26.4
73;0.479;38.958;31.033
74;0.428;40.63;30.832
75;0.452;40.571;36.461
76;0.632;38.121;27.223
77;0.452;38.12;27.231
78;0.465;36.821;27.92
79;0.413;40.001;27.83
80;0.435;35.73;27.386
81;0.566;38.49;27.288
82;0.574;37.399;32.452
83;0.81;43.919;26.875
84;0.669;35.844;32.936
85;0.46;34.826;26.038
86;0.478;35.963;28.632
87;0.662;39.265;34.068
88;0.574;36.321;25.279
89;0.624;34.028;25.443
90;0.512;33.439;25.002
91;0.533;35.036;26.368
92;0.541;34.967;29.595
93;0.643;36.074;26.968
94;0.554;35.552;26.326
95;0.563;35.717;27.713
96;0.72;37.267;26.141
97;0.591;35.702;26.657
98;0.603;34.901;25.604
99;0.619;33.438;25.464
100;0.623;33.5;25.182
101;0.716;33.001;25.101
102;0.754;33.399;26.793
103;0.663;33.934;27.07
104;0.77;36.59;33.233
105;0.688;35.947;27.068
106;0.737;35.045;27.113
107;0.713;35.019;27.112
108;0.737;35.248;27.437
109;0.736;35.168;27.885
110;0.751;35.631;27.189
111;0.754;34.846;29.335
112;0.817;37.172;27.47
113;1.029;35.177;27.019
114;1.102;35.332;26.512
115;0.817;39.041;30.51
116;0.942;35.676;27.114
117;1.221;51.693;29.421
118;1.126;39.209;30.829
119;0.867;33.947;25.486
120;0.891;35.107;32.632
121;0.887;34.104;25.349
122;0.916;33.318;25.309
123;0.916;33.449;25.617
124;0.933;33.469;25.487
125;0.941;33.711;25.217
126;0.968;33.242;27.237
127;1.283;35.394;26.678
128;1.009;35.657;27.566
129;1.014;148.365;107.949
130;1.511;140.182;103.305
131;1.044;136.506;108.173
132;1.43;153.681;107.197
133;1.243;144.082;107.622
134;1.235;144.768;106.313
135;1.138;160.224;137.52
136;1.632;152.994;119.425
